Total_Pemasukan_Belum,Total_Pengeluaran_Belum,Total_Anggaran_Belum,Total_Tabungan_Belum,Status_Kesehatan_Finansial,Total_Pemasukan,Total_Pengeluaran,Total_Anggaran,Total_Tabungan
7247792,3467083,3663127,2409874,Sehat,7200000,3500000,3700000,2400000
12836485,3025119,3108315,4509904,Sehat,12800000,3000000,3100000,4500000
8050045,2252825,2017055,1043477,Sehat,8100000,2300000,2000000,1000000
10056687,7899792,6129955,994616,Perlu Perhatian,10100000,7900000,6100000,1000000
7802261,8024272,8382286,268989,Berisiko,7800000,8000000,8400000,300000
15453026,15522191,16760191,38399,Berisiko,15500000,15500000,16800000,0
3928099,4313027,3256837,507979,Berisiko,3900000,4300000,3300000,500000
12837859,4561182,4992346,4773461,Sehat,12800000,4600000,5000000,4800000
11693246,7499846,8051334,878952,Perlu Perhatian,11700000,7500000,8100000,900000
14314622,16731625,13505339,1115040,Berisiko,14300000,16700000,13500000,1100000
14641004,15070746,12525529,922335,Berisiko,14600000,15100000,12500000,900000
11916344,7004834,7294543,2545357,Perlu Perhatian,11900000,7000000,7300000,2500000
16248130,7127285,7742439,5531489,Sehat,16200000,7100000,7700000,5500000
7797444,5488489,5798113,2142266,Perlu Perhatian,7800000,5500000,5800000,2100000
9234482,3095044,2514210,1839246,Sehat,9200000,3100000,2500000,1800000
7554275,4511628,4838279,2167003,Perlu Perhatian,7600000,4500000,4800000,2200000
6245193,5812992,5309233,125598,Berisiko,6200000,5800000,5300000,100000
15628449,15924215,12070449,1787349,Berisiko,15600000,15900000,12100000,1800000
10643416,6260297,5825100,2534198,Perlu Perhatian,10600000,6300000,5800000,2500000
14154837,12278756,12959964,2659105,Berisiko,14200000,12300000,13000000,2700000
9562392,6615285,5746397,1228373,Perlu Perhatian,9600000,6600000,5700000,1200000
9640980,9476806,7562679,525716,Berisiko,9600000,9500000,7600000,500000
12513519,13981100,15063216,507159,Berisiko,12500000,14000000,15100000,500000
4124320,1890172,1460125,1314921,Sehat,4100000,1900000,1500000,1300000
18859019,13528493,11332728,1562568,Perlu Perhatian,18900000,13500000,11300000,1600000
13791109,14606974,12551650,846736,Berisiko,13800000,14600000,12600000,800000
19429861,12134548,9263770,2334711,Perlu Perhatian,19400000,12100000,9300000,2300000
5764157,1488200,1477004,1223838,Sehat,5800000,1500000,1500000,1200000
3275739,2198133,2041542,745316,Perlu Perhatian,3300000,2200000,2000000,700000
17846999,19775442,17319998,2636169,Berisiko,17800000,19800000,17300000,2600000
6420877,4858772,4403365,1437769,Perlu Perhatian,6400000,4900000,4400000,1400000
13321827,15660801,16860943,2119549,Berisiko,13300000,15700000,16900000,2100000
4601526,3578612,3790575,347168,Perlu Perhatian,4600000,3600000,3800000,300000
5566040,5378849,4357861,353587,Berisiko,5600000,5400000,4400000,400000
16876943,9373756,10023914,1835227,Perlu Perhatian,16900000,9400000,10000000,1800000
10536222,9545420,7012783,1953623,Berisiko,10500000,9500000,7000000,2000000
19676685,4249957,3693993,4719094,Sehat,19700000,4200000,3700000,4700000
6969353,6520029,4766796,1276406,Berisiko,7000000,6500000,4800000,1300000
15977546,15097960,14981257,2137233,Berisiko,16000000,15100000,15000000,2100000
18792682,21682436,17538681,1803954,Berisiko,18800000,21700000,17500000,1800000
11610461,2504084,1923229,4565560,Sehat,11600000,2500000,1900000,4600000
9707623,4954360,4490531,2782117,Perlu Perhatian,9700000,5000000,4500000,2800000
7878914,2883061,2724410,1090391,Sehat,7900000,2900000,2700000,1100000
19262413,6625094,5940483,7164488,Sehat,19300000,6600000,5900000,7200000
4327617,1093041,1086799,512549,Sehat,4300000,1100000,1100000,500000
8189576,6792436,5214249,1579630,Berisiko,8200000,6800000,5200000,1600000
14458062,14847638,15669819,2120610,Berisiko,14500000,14800000,15700000,2100000
12805096,13237319,11870442,2255179,Berisiko,12800000,13200000,11900000,2300000
17511209,6358843,5589867,6109105,Sehat,17500000,6400000,5600000,6100000
17772022,6163032,4921988,6144812,Sehat,17800000,6200000,4900000,6100000
15934480,12107216,13163676,2444033,Perlu Perhatian,15900000,12100000,13200000,2400000
17945567,6139404,6041780,4774084,Sehat,17900000,6100000,6000000,4800000
9670137,4932122,4009058,2436839,Perlu Perhatian,9700000,4900000,4000000,2400000
17141545,8884949,6862526,3998443,Perlu Perhatian,17100000,8900000,6900000,4000000
14061740,9864232,7675705,2795076,Perlu Perhatian,14100000,9900000,7700000,2800000
7758053,5260847,3994582,1960418,Perlu Perhatian,7800000,5300000,4000000,2000000
16651900,17821753,17478208,659249,Berisiko,16700000,17800000,17500000,700000
9989333,7621069,5345492,2760905,Perlu Perhatian,10000000,7600000,5300000,2800000
10726060,8476211,8041155,1788992,Perlu Perhatian,10700000,8500000,8000000,1800000
16169836,6363704,5231934,3339727,Sehat,16200000,6400000,5200000,3300000
14651958,13158017,11064630,177582,Berisiko,14700000,13200000,11100000,200000
3970172,4646857,3596441,11358,Berisiko,4000000,4600000,3600000,0
3482232,2441706,2152168,1041318,Perlu Perhatian,3500000,2400000,2200000,1000000
14289052,11818526,12471636,2508511,Berisiko,14300000,11800000,12500000,2500000
18033695,11637462,8822507,4934537,Perlu Perhatian,18000000,11600000,8800000,4900000
19639786,12959540,13609073,3118548,Perlu Perhatian,19600000,13000000,13600000,3100000
10437664,6652648,6845633,1561052,Perlu Perhatian,10400000,6700000,6800000,1600000
4492449,1170451,889906,1026430,Sehat,4500000,1200000,900000,1000000
16822929,11987725,11562598,2585949,Perlu Perhatian,16800000,12000000,11600000,2600000
17078334,11647280,12664945,1721893,Perlu Perhatian,17100000,11600000,12700000,1700000
10605197,5192112,4632683,1707792,Sehat,10600000,5200000,4600000,1700000
6833199,7361000,6617497,308106,Berisiko,6800000,7400000,6600000,300000
3471859,4156843,4471220,226143,Berisiko,3500000,4200000,4500000,200000
16188594,3544090,2973878,2055862,Sehat,16200000,3500000,3000000,2100000
17647982,12270753,13054918,3755997,Perlu Perhatian,17600000,12300000,13100000,3800000
13939742,13599644,9956914,929123,Berisiko,13900000,13600000,10000000,900000
7111034,4714639,4226080,1103489,Perlu Perhatian,7100000,4700000,4200000,1100000
16109109,11191802,8449150,3578247,Perlu Perhatian,16100000,11200000,8400000,3600000
7772182,2049335,2127959,975876,Sehat,7800000,2000000,2100000,1000000
8568104,7857920,7940230,639039,Berisiko,8600000,7900000,7900000,600000
3271372,1538070,1246996,743596,Sehat,3300000,1500000,1200000,700000
7378172,6627854,5011140,753807,Berisiko,7400000,6600000,5000000,800000
15996719,4663811,3769642,5124483,Sehat,16000000,4700000,3800000,5100000
10901037,6219379,4916579,2876293,Perlu Perhatian,10900000,6200000,4900000,2900000
10008280,9842072,9429565,281942,Berisiko,10000000,9800000,9400000,300000
18277825,15171028,12242171,1252891,Berisiko,18300000,15200000,12200000,1300000
4637027,1073404,910894,1384122,Sehat,4600000,1100000,900000,1400000
7466842,3977689,3904925,1398932,Perlu Perhatian,7500000,4000000,3900000,1400000
7190836,5184689,3670386,1741305,Perlu Perhatian,7200000,5200000,3700000,1700000
19490980,22818691,17293000,319449,Berisiko,19500000,22800000,17300000,300000
7827198,6072529,6433306,891025,Perlu Perhatian,7800000,6100000,6400000,900000
10631842,8495005,7937173,893720,Perlu Perhatian,10600000,8500000,7900000,900000
18311207,15761401,16041385,952459,Berisiko,18300000,15800000,16000000,1000000
17549624,13496740,14760975,1328180,Perlu Perhatian,17500000,13500000,14800000,1300000
3150760,2417111,1952718,428340,Perlu Perhatian,3200000,2400000,2000000,400000
8271069,2287616,2297014,2422294,Sehat,8300000,2300000,2300000,2400000
13732817,16023306,11785346,1926702,Berisiko,13700000,16000000,11800000,1900000
5130280,6002928,4488675,961759,Berisiko,5100000,6000000,4500000,1000000
10299193,11823625,8770703,2001127,Berisiko,10300000,11800000,8800000,2000000
14001594,12919073,12548980,333376,Berisiko,14000000,12900000,12500000,300000
6439568,6292381,4953940,1065174,Berisiko,6400000,6300000,5000000,1100000
18974428,21068269,19540960,1033297,Berisiko,19000000,21100000,19500000,1000000
5692435,5924391,5212191,268073,Berisiko,5700000,5900000,5200000,300000
15970178,11563185,8417582,1129076,Perlu Perhatian,16000000,11600000,8400000,1100000
17876932,7776161,5565432,2005348,Sehat,17900000,7800000,5600000,2000000
13219783,5974178,6241269,3048792,Sehat,13200000,6000000,6200000,3000000
4143075,3926071,4199206,662262,Berisiko,4100000,3900000,4200000,700000
18016768,12935847,12888726,3944775,Perlu Perhatian,18000000,12900000,12900000,3900000
16382211,7124423,6969346,4935374,Sehat,16400000,7100000,7000000,4900000
15334973,9366716,7151695,1492752,Perlu Perhatian,15300000,9400000,7200000,1500000
12020697,5288730,4094525,4144802,Sehat,12000000,5300000,4100000,4100000
11523195,12319387,9746355,834638,Berisiko,11500000,12300000,9700000,800000
14859059,13670708,10412191,652664,Berisiko,14900000,13700000,10400000,700000
18025223,20616421,22013308,2358143,Berisiko,18000000,20600000,22000000,2400000
7549499,2347565,1884238,1656974,Sehat,7500000,2300000,1900000,1700000
15492068,6611427,4950639,5395377,Sehat,15500000,6600000,5000000,5400000
11132295,6779340,5551248,1669779,Perlu Perhatian,11100000,6800000,5600000,1700000
4606563,2318810,1824734,406259,Perlu Perhatian,4600000,2300000,1800000,400000
11811819,3205810,3056553,3066556,Sehat,11800000,3200000,3100000,3100000
14479302,10992964,11279579,1452687,Perlu Perhatian,14500000,11000000,11300000,1500000
9289886,4117830,3097294,963877,Sehat,9300000,4100000,3100000,1000000
5270671,5790722,6067508,96533,Berisiko,5300000,5800000,6100000,100000
3558112,2501168,2020355,760590,Perlu Perhatian,3600000,2500000,2000000,800000
16672698,4451755,4572034,2545093,Sehat,16700000,4500000,4600000,2500000
3408597,1048189,816039,1098047,Sehat,3400000,1000000,800000,1100000
14974364,3843598,2948954,1805122,Sehat,15000000,3800000,2900000,1800000
10174157,3227599,3401798,3754591,Sehat,10200000,3200000,3400000,3800000
3567273,900918,929668,498752,Sehat,3600000,900000,900000,500000
12722910,13557424,9581445,644806,Berisiko,12700000,13600000,9600000,600000
5448910,1390783,1457210,694717,Sehat,5400000,1400000,1500000,700000
7403602,5237500,5545550,513652,Perlu Perhatian,7400000,5200000,5500000,500000
3894087,2517048,2274716,1046585,Perlu Perhatian,3900000,2500000,2300000,1000000
8481255,4584842,4601561,619549,Perlu Perhatian,8500000,4600000,4600000,600000
4513744,1334012,993488,1736300,Sehat,4500000,1300000,1000000,1700000
7308934,3125161,3006365,1743090,Sehat,7300000,3100000,3000000,1700000
15097171,9283891,6540538,2900130,Perlu Perhatian,15100000,9300000,6500000,2900000
16098482,17633615,17352272,497610,Berisiko,16100000,17600000,17400000,500000
19813490,18638192,19113983,1744030,Berisiko,19800000,18600000,19100000,1700000
5816713,5704295,4721231,1094131,Berisiko,5800000,5700000,4700000,1100000
17980950,7385413,6420059,5450212,Sehat,18000000,7400000,6400000,5500000
14806984,15449430,13140246,2664630,Berisiko,14800000,15400000,13100000,2700000
13775971,4431742,3941020,3083119,Sehat,13800000,4400000,3900000,3100000
11226247,5641162,4179691,1887614,Perlu Perhatian,11200000,5600000,4200000,1900000
7973984,2180781,2291720,1986885,Sehat,8000000,2200000,2300000,2000000
12599408,7416258,6296624,3633708,Perlu Perhatian,12600000,7400000,6300000,3600000
4998255,5861933,4979997,527367,Berisiko,5000000,5900000,5000000,500000
12918262,6217617,5728394,3303832,Sehat,12900000,6200000,5700000,3300000
14387229,5880595,6429077,1931637,Sehat,14400000,5900000,6400000,1900000
6134215,4721978,4852603,976482,Perlu Perhatian,6100000,4700000,4900000,1000000
5738014,3211610,2908300,1444655,Perlu Perhatian,5700000,3200000,2900000,1400000
16902593,13102520,9974596,3603509,Perlu Perhatian,16900000,13100000,10000000,3600000
16919697,6860578,4997131,3410778,Sehat,16900000,6900000,5000000,3400000
10169525,8250411,8123710,123035,Berisiko,10200000,8300000,8100000,100000
12421400,2504518,2741344,3647172,Sehat,12400000,2500000,2700000,3600000
17161619,8635471,6961580,3760051,Perlu Perhatian,17200000,8600000,7000000,3800000
12661427,9490239,7487598,816609,Perlu Perhatian,12700000,9500000,7500000,800000
3332059,1057925,856861,805317,Sehat,3300000,1100000,900000,800000
4031881,2300136,1690784,696341,Perlu Perhatian,4000000,2300000,1700000,700000
15417783,8534079,8879284,3516899,Perlu Perhatian,15400000,8500000,8900000,3500000
10992067,7888005,6849953,2810214,Perlu Perhatian,11000000,7900000,6800000,2800000
5846543,4150059,3663502,806781,Perlu Perhatian,5800000,4200000,3700000,800000
3177869,3074302,3164865,206820,Berisiko,3200000,3100000,3200000,200000
8781044,9977983,10106569,385287,Berisiko,8800000,10000000,10100000,400000
12082682,7628252,5490180,2798011,Perlu Perhatian,12100000,7600000,5500000,2800000
18601718,22260879,22392163,3417807,Berisiko,18600000,22300000,22400000,3400000
13397921,9061463,6854897,3896269,Perlu Perhatian,13400000,9100000,6900000,3900000
11736951,11094805,10115832,1584797,Berisiko,11700000,11100000,10100000,1600000
12489193,8909333,6985239,963478,Perlu Perhatian,12500000,8900000,7000000,1000000
18659362,14865531,13794207,5571242,Perlu Perhatian,18700000,14900000,13800000,5600000
8224769,1989037,1982910,951387,Sehat,8200000,2000000,2000000,1000000
15811314,3201558,3509536,3430293,Sehat,15800000,3200000,3500000,3400000
6268515,2638497,2267566,1988392,Sehat,6300000,2600000,2300000,2000000
11254723,2272745,1660625,3603576,Sehat,11300000,2300000,1700000,3600000
7478403,6402430,6336469,369483,Berisiko,7500000,6400000,6300000,400000
11068222,7929367,8674801,1374509,Perlu Perhatian,11100000,7900000,8700000,1400000
15411359,7771508,6051836,2527998,Perlu Perhatian,15400000,7800000,6100000,2500000
13216467,12765648,9838847,1885652,Berisiko,13200000,12800000,9800000,1900000
17654800,20955574,17485931,2150545,Berisiko,17700000,21000000,17500000,2200000
19380161,21268850,15088438,981128,Berisiko,19400000,21300000,15100000,1000000
15600475,17036826,16326255,2927630,Berisiko,15600000,17000000,16300000,2900000
15317424,13758585,12178702,1173131,Berisiko,15300000,13800000,12200000,1200000
5659480,4994317,5165055,392472,Berisiko,5700000,5000000,5200000,400000
13321925,11154160,8104475,591169,Berisiko,13300000,11200000,8100000,600000
17240377,7777064,6196393,4729994,Sehat,17200000,7800000,6200000,4700000
4840002,4378280,4283236,859875,Berisiko,4800000,4400000,4300000,900000
12303843,14052255,11200199,1186280,Berisiko,12300000,14100000,11200000,1200000
13165274,9571299,10032756,3077662,Perlu Perhatian,13200000,9600000,10000000,3100000
3744679,1594731,1640091,1261927,Sehat,3700000,1600000,1600000,1300000
11950756,11289999,8482252,1379764,Berisiko,12000000,11300000,8500000,1400000
12504642,4815212,3846528,1451036,Sehat,12500000,4800000,3800000,1500000
9637038,10974188,7742493,1070949,Berisiko,9600000,11000000,7700000,1100000
6099443,4613244,3684987,1813248,Perlu Perhatian,6100000,4600000,3700000,1800000
8310549,6593637,4765862,1124330,Perlu Perhatian,8300000,6600000,4800000,1100000
9285752,5040582,4328505,1673631,Perlu Perhatian,9300000,5000000,4300000,1700000
6773899,1439085,1528802,1202374,Sehat,6800000,1400000,1500000,1200000
10464279,4324675,3860227,3909567,Sehat,10500000,4300000,3900000,3900000
6305991,2145985,2085362,1164283,Sehat,6300000,2100000,2100000,1200000
12538313,9795586,9543672,820995,Perlu Perhatian,12500000,9800000,9500000,800000
12934828,5547082,5260031,1695282,Sehat,12900000,5500000,5300000,1700000
5850302,5076666,3954640,257127,Berisiko,5900000,5100000,4000000,300000
5971004,4632549,4525407,992092,Perlu Perhatian,6000000,4600000,4500000,1000000
7611072,2765225,2998485,3015587,Sehat,7600000,2800000,3000000,3000000
13630752,15385357,13434990,2581588,Berisiko,13600000,15400000,13400000,2600000
7326029,5746563,5706357,1511903,Perlu Perhatian,7300000,5700000,5700000,1500000
